PD_mM,NAD_mM,activity_U/mg
500,1,0.02235892502451957
500,2,0.03241091614152395
500,3,0.03823215176589703
500,4,0.04363875090478662
500,5,0.04979399570527781
500,6,0.051177891879755404
500,7,0.05067834078345709
50,5,0.02188974494448988
75,5,0.022518457883563086
100,5,0.028583744506291055
200,5,0.034187287441411154
350,5,0.04190096976904795
650,5,0.042029639793429704
