reaction,rates,c1,c2,c3
1,0.022497292937421573,1.0219955824758615,500.0,0.0
1,0.021777979021908842,1.0017134583669347,500.0,0.0
1,0.03127900749182051,2.070534485951126,500.0,0.0
1,0.03418446421060713,2.0233560343998196,500.0,0.0
1,0.0381563955852633,2.9842953999037496,500.0,0.0
1,0.03886751222265424,2.9668611083742427,500.0,0.0
1,0.04130918203047843,3.9710513846807354,500.0,0.0
1,0.045319804579813064,3.9880941032963753,500.0,0.0
1,0.04964200053907996,4.972253319377622,500.0,0.0
1,0.049133537570765926,4.991641407010839,500.0,0.0
1,0.0517019671052632,6.010105756034914,500.0,0.0
1,0.05019671852998744,6.034483408739728,500.0,0.0
1,0.049642098904779566,7.041749681100989,500.0,0.0
1,0.052301684526681755,7.023885075072879,500.0,0.0
1,0.015761952625213786,5.0,27.60531495881097,0.0
1,0.011461003967263003,5.0,22.59752479113561,0.0
1,0.018451794086167265,5.0,50.08679797669585,0.0
1,0.020471372692200344,5.0,44.11604604816084,0.0
1,0.0227368108325904,5.0,72.03957424688846,0.0
1,0.022007433690756542,5.0,75.25226542575604,0.0
1,0.025420536955127346,5.0,97.54833746449947,0.0
1,0.02912068442793169,5.0,97.34332699030227,0.0
1,0.03344779294042317,5.0,198.99747976222824,0.0
1,0.03592681454211431,5.0,198.2319492569306,0.0
1,0.039147656486139,5.0,349.5060813440819,0.0
1,0.041779124224043174,5.0,345.9562427670548,0.0
1,0.04143614736752978,5.0,648.8070223792439,0.0
1,0.040616337284437226,5.0,648.0852933387318,0.0
2,0.2852369533503482,101.50449424432215,0.6,0.0
2,0.2769390944678925,103.76826945969664,0.6,0.0
2,0.3601849854330803,199.54713571928184,0.6,0.0
2,0.36789133668811125,197.3813575883763,0.6,0.0
2,0.382191439401956,299.47479941593417,0.6,0.0
2,0.38226400061873483,302.0705744153135,0.6,0.0
2,0.4587764163233778,399.26664027747273,0.6,0.0
2,0.448547638261687,397.5120203792182,0.6,0.0
2,0.5053554636629329,501.87997093286253,0.6,0.0
2,0.44656312126184244,498.90348023817427,0.6,0.0
2,0.3185910099295719,149.88740111972263,0.6,0.0
2,0.34358958472791223,149.47162530740783,0.6,0.0
2,0.06721207656496914,300.0,0.10004091207590628,0.0
2,0.0697522229640276,300.0,0.10014668302721431,0.0
2,0.10594024160809759,300.0,0.14977389301750638,0.0
2,0.10194588202917787,300.0,0.1523477058548806,0.0
2,0.14955799360533592,300.0,0.19860842771882917,0.0
2,0.15837400699808188,300.0,0.2001019485697264,0.0
2,0.215731316002618,300.0,0.29928324618734,0.0
2,0.22328359115029323,300.0,0.2992961081053389,0.0
2,0.2791977353732525,300.0,0.399910805044639,0.0
2,0.29188564712459214,300.0,0.3993346637094149,0.0
2,0.3322161064027768,300.0,0.496708720126384,0.0
2,0.30019956611985527,300.0,0.4993936484512023,0.0
2,0.43934533462591335,300.0,0.6,0.0
2,0.4240265926567764,300.0,0.6,0.0
2,0.359934618727084,300.0,0.6,97.55771600093834
2,0.3408093033788167,300.0,0.6,99.44233633316928
2,0.3307833380542335,300.0,0.6,199.36891892989843
2,0.34177080180459524,300.0,0.6,204.1181143815033
2,0.2784999566635201,300.0,0.6,301.58487021043857
2,0.288086225011486,300.0,0.6,300.3867511163947
2,0.3666142733728238,300.0,0.6,52.80932803487586
2,0.36112537802603206,300.0,0.6,50.0119174825184
2,0.3091960726779879,300.0,0.6,145.393415057049
2,0.3014757473112758,300.0,0.6,151.7925019915165
2,0.19584015591220078,300.0,0.6,399.643512338544
2,0.22198552463016016,300.0,0.6,398.3911876080108
2,0.2199674978137879,300.0,0.6,500.04547439992814
2,0.20296870996871721,300.0,0.6,498.25273115005353
3,1.0070385714721681,99.6447452982328,5.0,0.0
3,0.9837666076988328,100.6440986131875,5.0,0.0
3,1.3263549704153006,203.0816089403345,5.0,0.0
3,1.3692814750586835,199.29000434861874,5.0,0.0
3,1.4857177724060495,295.86429089543276,5.0,0.0
3,1.6546044133289177,300.1871005599637,5.0,0.0
3,1.4889843709248822,399.1115250547766,5.0,0.0
3,1.473784767251855,400.01560193954964,5.0,0.0
3,1.4774301674155195,498.0814772152427,5.0,0.0
3,1.4856429607824977,498.91837212963213,5.0,0.0
3,1.4801001376587828,594.1868981451883,5.0,0.0
3,1.491513299459155,604.3759342086374,5.0,0.0
3,1.4630506949036561,705.7748626957706,5.0,0.0
3,1.4652549549616198,698.0733955162946,5.0,0.0
3,0.4766195961788946,24.733536698957792,5.0,0.0
3,0.398654862991166,25.534455526309703,5.0,0.0
