,Vmax,Km1,Km2
227,100.0,2.0,3.0
228,100.0,2.0,3.0
229,100.0,2.0,3.0
230,100.0,2.0,3.0
231,100.0,2.0,3.0
232,100.0,2.0,3.0
233,100.0,2.0,3.0
234,100.0,2.0,3.0
235,100.0,2.0,3.0
236,100.0,2.0,3.0
237,100.0,2.0,3.0
238,100.0,2.0,3.0
239,100.0,2.0,3.0
240,100.0,2.0,3.0
241,100.0,2.0,3.0
242,100.0,2.0,3.0
243,100.0,2.0,3.0
244,100.0,2.0,3.0
245,100.0,2.0,3.0
246,100.0,2.0,3.0
247,100.0,2.0,3.0
248,100.0,2.0,3.0
249,100.0,2.0,3.0
250,100.0,2.0,3.0
251,100.0,2.0,3.0
252,100.0,2.0,3.0
253,100.0,2.0,3.0
254,100.0,2.0,3.0
255,100.0,2.0,3.0
256,100.0,2.0,3.0
257,100.0,2.0,3.0
258,100.0,2.0,3.0
259,100.0,2.0,3.0
260,100.0,2.0,3.0
261,100.0,2.0,3.0
262,100.0,2.0,3.0
263,100.0,2.0,3.0
264,100.0,2.0,3.0
265,100.0,2.0,3.0
266,100.0,2.0,3.0
267,100.0,2.0,3.0
268,100.0,2.0,3.0
269,100.0,2.0,3.0
270,100.0,2.0,3.0
271,100.0,2.0,3.0
272,100.0,2.0,3.0
273,100.0,2.0,3.0
274,100.0,2.0,3.0
275,100.0,2.0,3.0
276,100.0,2.0,3.0
277,100.0,2.0,3.0
278,100.0,2.0,3.0
279,100.0,2.0,3.0
280,100.0,2.0,3.0
281,100.0,2.0,3.0
282,100.0,2.0,3.0
283,100.0,2.0,3.0
284,100.0,2.0,3.0
285,100.0,2.0,3.0
286,100.0,2.0,3.0
287,100.0,2.0,3.0
288,100.0,2.0,3.0
289,100.0,2.0,3.0
290,100.0,2.0,3.0
291,100.0,2.0,3.0
292,100.0,2.0,3.0
293,100.0,2.0,3.0
294,100.0,2.0,3.0
295,100.0,2.0,3.0
296,100.0,2.0,3.0
297,100.0,2.0,3.0
298,100.0,2.0,3.0
299,100.0,2.0,3.0
300,100.0,2.0,3.0
301,100.0,2.0,3.0
302,100.0,2.0,3.0
303,100.0,2.0,3.0
304,100.0,2.0,3.0
305,100.0,2.0,3.0
306,100.0,2.0,3.0
307,100.0,2.0,3.0
308,100.0,2.0,3.0
309,100.0,2.0,3.0
310,100.0,2.0,3.0
311,100.0,2.0,3.0
312,100.0,2.0,3.0
313,100.0,2.0,3.0
314,100.0,2.0,3.0
315,100.0,2.0,3.0
316,100.0,2.0,3.0
317,100.0,2.0,3.0
318,100.0,2.0,3.0
319,100.0,2.0,3.0
320,100.0,2.0,3.0
321,100.0,2.0,3.0
322,100.0,2.0,3.0
323,100.0,2.0,3.0
324,100.0,2.0,3.0
325,100.0,2.0,3.0
326,100.0,2.0,3.0
327,100.0,2.0,3.0
328,100.0,2.0,3.0
329,100.0,2.0,3.0
330,100.0,2.0,3.0
331,100.0,2.0,3.0
332,100.0,2.0,3.0
333,100.0,2.0,3.0
334,100.0,2.0,3.0
335,100.0,2.0,3.0
336,100.0,2.0,3.0
337,100.0,2.0,3.0
338,100.0,2.0,3.0
339,100.0,2.0,3.0
340,100.0,2.0,3.0
341,100.0,2.0,3.0
342,100.0,2.0,3.0
343,100.0,2.0,3.0
344,100.0,2.0,3.0
345,100.0,2.0,3.0
346,100.0,2.0,3.0
347,100.0,2.0,3.0
348,100.0,2.0,3.0
349,100.0,2.0,3.0
350,100.0,2.0,3.0
351,100.0,2.0,3.0
352,100.0,2.0,3.0
353,100.0,2.0,3.0
354,100.0,2.0,3.0
355,100.0,2.0,3.0
356,100.0,2.0,3.0
357,100.0,2.0,3.0
358,100.0,2.0,3.0
359,100.0,2.0,3.0
360,100.0,2.0,3.0
361,100.0,2.0,3.0
362,100.0,2.0,3.0
363,100.0,2.0,3.0
364,100.0,2.0,3.0
365,100.0,2.0,3.0
366,100.0,2.0,3.0
367,100.0,2.0,3.0
368,100.0,2.0,3.0
369,100.0,2.0,3.0
370,100.0,2.0,3.0
371,100.0,2.0,3.0
372,100.0,2.0,3.0
373,100.0,2.0,3.0
374,100.0,2.0,3.0
375,100.0,2.0,3.0
376,100.0,2.0,3.0
377,100.0,2.0,3.0
378,100.0,2.0,3.0
379,100.0,2.0,3.0
380,100.0,2.0,3.0
381,100.0,2.0,3.0
382,100.0,2.0,3.0
383,100.0,2.0,3.0
384,100.0,2.0,3.0
385,100.0,2.0,3.0
386,100.0,2.0,3.0
387,100.0,2.0,3.0
388,100.0,2.0,3.0
389,100.0,2.0,3.0
390,100.0,2.0,3.0
391,100.0,2.0,3.0
392,100.0,2.0,3.0
393,100.0,2.0,3.0
394,100.0,2.0,3.0
395,100.0,2.0,3.0
396,100.0,2.0,3.0
397,100.0,2.0,3.0
398,100.0,2.0,3.0
399,100.0,2.0,3.0
400,100.0,2.0,3.0
401,100.0,2.0,3.0
402,100.0,2.0,3.0
403,100.0,2.0,3.0
404,100.0,2.0,3.0
405,100.0,2.0,3.0
406,100.0,2.0,3.0
407,100.0,2.0,3.0
408,100.0,2.0,3.0
409,100.0,2.0,3.0
410,100.0,2.0,3.0
411,100.0,2.0,3.0
412,100.0,2.0,3.0
413,100.0,2.0,3.0
414,100.0,2.0,3.0
415,100.0,2.0,3.0
416,100.0,2.0,3.0
417,100.0,2.0,3.0
418,100.0,2.0,3.0
419,100.0,2.0,3.0
420,100.0,2.0,3.0
421,100.0,2.0,3.0
422,100.0,2.0,3.0
423,100.0,2.0,3.0
424,100.0,2.0,3.0
425,100.0,2.0,3.0
426,100.0,2.0,3.0
427,100.0,2.0,3.0
428,100.0,2.0,3.0
429,100.0,2.0,3.0
430,100.0,2.0,3.0
431,100.0,2.0,3.0
432,100.0,2.0,3.0
433,100.0,2.0,3.0
434,100.0,2.0,3.0
435,100.0,2.0,3.0
436,100.0,2.0,3.0
437,100.0,2.0,3.0
438,100.0,2.0,3.0
439,100.0,2.0,3.0
440,100.0,2.0,3.0
441,100.0,2.0,3.0
442,100.0,2.0,3.0
443,100.0,2.0,3.0
444,100.0,2.0,3.0
445,100.0,2.0,3.0
446,100.0,2.0,3.0
447,100.0,2.0,3.0
448,100.0,2.0,3.0
449,100.0,2.0,3.0
450,100.0,2.0,3.0
451,100.0,2.0,3.0
452,100.0,2.0,3.0
453,100.0,2.0,3.0
454,100.0,2.0,3.0
455,100.0,2.0,3.0
456,100.0,2.0,3.0
457,100.0,2.0,3.0
458,100.0,2.0,3.0
459,100.0,2.0,3.0
460,100.0,2.0,3.0
461,100.0,2.0,3.0
462,100.0,2.0,3.0
463,100.0,2.0,3.0
464,100.0,2.0,3.0
465,100.0,2.0,3.0
466,100.0,2.0,3.0
467,100.0,2.0,3.0
