,Vmax,Km2
596,1.5159789045553664,1.763914232297168
597,1.6703149143647722,2.066679956756739
598,1.650585407167126,2.025955293334995
599,1.6337133949362377,1.9086327945741441
600,2.3091460152242074,2.875638119160973
601,1.4824823921572408,1.6918908997883981
602,1.718640322029961,2.091194372224088
603,1.8765251025283067,2.2974226031608462
604,1.4650556419705052,1.686120848725806
605,4.185018825900142,5.625074474785367
606,1.219168225099066,1.4042877828515892
607,1.4423977155515182,1.6574741773500175
608,1.5962425554032815,1.9181198648520936
609,2.1319069965629542,2.664260804961272
610,2.3442566838835566,2.9819315904666177
611,1.2713887808862192,1.4576595601287865
612,1.6516867805502342,1.9625916675489095
613,1.616149756567994,1.9378779600870206
614,1.910342617230373,2.417786726959113
615,1.8425193813246166,2.18147591892725
616,1.7497450740162508,2.096941142956426
617,1.4367469174495222,1.6752860601332393
618,1.5391968051622016,1.8873887609159694
619,2.522213812005285,3.2076655046598646
620,2.4555048559159056,3.1764390100613364
621,1.681301353188751,2.0094963582252
622,1.5676380482996575,1.8520784605656881
623,1.2389587769434836,1.4464680178319196
624,1.463615419986425,1.6631793792602256
625,1.9034387553195575,2.3380881056996614
626,2.112611950203823,2.603873055933893
627,1.5833094332123345,1.8437410198217619
628,1.4835556294566332,1.7702203484361185
629,1.261411538043425,1.4181825180452172
630,2.180690922737587,2.745434000391951
631,3.2592237844611107,4.286219537600614
632,1.6936548554182738,2.1313150443776205
633,2.1687467339963686,2.7671071385672
634,1.1997114515482836,1.3319605239453924
635,2.9227986869265483,3.7913709174825354
636,1.4449487565692016,1.6731133590373233
637,1.631316210543039,1.9403866806461447
638,1.4613588192643296,1.6816741870114504
639,1.5941519579822037,1.8929241733847448
640,1.42284762075406,1.6802756971893964
641,2.2105277605711633,2.7986426294320776
642,1.350900720321263,1.5594048662382243
643,1.8589025149356235,2.2835280915440883
644,1.6577269741947234,2.0411689230054497
645,1.3206052523417535,1.5374739208755108
646,1.6271417419824779,1.885768178134483
647,2.3819661672755,2.953546607296818
648,1.5554825118615772,1.8414423297193205
649,1.8027386685251767,2.2705555424995025
650,1.772057550958788,2.117256312986339
651,1.813820902248796,2.221942883442231
652,0.9412101825359984,0.9800170062668987
653,2.3730959794113398,3.0192683455370344
654,1.5275231042091026,1.8034698063996604
655,1.2281225638673265,1.3584744197112857
656,1.6218688132774477,1.9568860790145783
657,2.3699769061301734,2.9689432885488323
658,1.6263324473296055,1.95060936292195
659,1.5659796146901916,1.8167865731947905
660,1.2090527180505906,1.3587264228229063
661,1.2359585461695108,1.389218064060046
662,2.239835280975041,2.8179239996878045
663,1.226909864084774,1.3508179702010261
664,2.1063203581311023,2.6233031504381406
665,2.1381450821005754,2.7439622980175864
666,1.601837118290438,1.942616640376547
667,2.0348319106531547,2.5242999657707483
668,1.4288439566598732,1.657567979234356
669,1.8545635139590513,2.1962541623733545
670,2.8319163789886823,3.6097322428545797
671,1.3191113864816786,1.5409941730470875
672,1.6445706023965123,2.052451205941437
673,1.827399221617672,2.213635024159199
674,3.7967322987898475,5.063310362132805
675,1.5044924517903182,1.7602081990338645
676,1.3126863067547676,1.473001085928936
677,1.6725492730929603,2.0513509569206634
678,1.12022599212717,1.2314063716050034
679,1.9271890819041304,2.3750796944979102
680,1.8624351732208597,2.298657603262864
681,1.4751938160456974,1.7283559496989054
682,1.838405034580612,2.2440598885290886
683,1.84937641589027,2.2762204451567167
684,1.2591956964894593,1.4142894156308337
685,1.9499827207536118,2.395116473630293
686,2.706087229817355,3.396322838504428
687,1.8506814756618837,2.235239254624094
688,1.7762571234106552,2.2123758722418874
689,3.18835233912874,4.16304476765325
690,1.8103067826641281,2.2074935090257344
691,1.8099819421411703,2.2692965575059922
692,2.2750899062352654,2.9346064724382206
693,2.4513338198873407,3.1024721726508604
694,2.0267899605399005,2.546129194950342
695,1.4959203763804751,1.729560577241657
696,2.753456288170935,3.477740095615328
697,1.4560805761276086,1.7224351640603466
698,1.3059071613802515,1.526257575662652
699,1.047663399987282,1.126957097966549
700,1.7218964746571455,2.027861441540028
701,2.2587592558646734,2.812641926600313
702,1.3975681205812516,1.5869086855224932
703,2.6502750458399835,3.4481175829436594
