,Vmax,Km2
777,2.6647472455865495,3.2894801150019273
778,2.658094251166649,3.265876705371257
779,2.671925206929347,3.2877968983199737
780,2.6467540586633134,3.221200904853877
781,2.665807223901427,3.289990740582891
782,2.6662555072524246,3.289683228806492
783,2.682600718265999,3.329819710288722
784,2.661705658238868,3.2799294029106822
785,2.6710999144036687,3.306005796169872
786,2.650193635577458,3.255387119807999
787,2.6686669050201903,3.2947925493088523
788,2.6653214079000724,3.2887794136429913
789,2.6658170469110063,3.282644325805576
790,2.6636972181415333,3.2712151993529055
791,2.651959352849172,3.251093825122659
792,2.667420991609893,3.297433226582864
793,2.6404781832668838,3.2148347507961708
794,2.6516646411161737,3.239750722449834
795,2.641117222646724,3.232146635503306
796,2.6512235932254375,3.2403529914692184
797,2.6706233342632033,3.30115185181277
798,2.6658949606909275,3.2718085487637745
799,2.6509586400346814,3.254551861659374
800,2.6810877394349704,3.3204319629435877
801,2.6509032862683246,3.2547586845165872
802,2.6435201612162427,3.217630346494003
803,2.6646207923591287,3.3026330115631475
804,2.648217209611682,3.2436969550837342
805,2.656749453476611,3.2656953202759533
806,2.636477304528451,3.200966066210129
807,2.6744193134947083,3.3141480145988713
808,2.6529951908568035,3.240073383486806
809,2.661028085455409,3.270235586837589
810,2.652163568213596,3.242712322941235
811,2.6421113730761525,3.218043588368622
812,2.6709845191816717,3.2947734613096284
813,2.6593764919746596,3.2670666198394143
814,2.660005595654283,3.2650412599722665
815,2.6682024270100015,3.293386365400987
816,2.6715596682567697,3.3050854785673818
817,2.660265353345327,3.2728030227632705
818,2.648390701511652,3.243062818023466
819,2.6572071087029836,3.2563862109296586
820,2.668500937287694,3.314575884300442
821,2.6767387189638154,3.3215428905661337
822,2.6631185070989165,3.2631455307184325
823,2.663581275045568,3.270228795502517
824,2.6433577228672633,3.2367421210969005
825,2.6484543028808694,3.2457460028802285
826,2.6610322068572696,3.293068122322777
827,2.6676935389082073,3.298170654935391
828,2.6416710066545095,3.2300388752074
829,2.6450967178893285,3.228981579038118
830,2.6495182227162832,3.244912085211971
831,2.672132241054401,3.3047265275355344
832,2.668398676208147,3.2884439106160244
833,2.661465098489997,3.2635219886481552
834,2.6444463295315135,3.2203694992305523
835,2.6543742823860326,3.2495119119498908
836,2.6593532084751774,3.27714453176766
837,2.6593321747813548,3.2636599690736534
838,2.6609606776799524,3.270831708690632
839,2.6629975019519194,3.276792267829162
840,2.647257300995923,3.23741510447538
841,2.6769478691515545,3.3215573735681447
842,2.65170949998867,3.237394536513127
843,2.672022119888127,3.3044924646904854
844,2.655382736376511,3.251196686764978
845,2.671344416120437,3.3107144282969228
846,2.675784219798302,3.3040366088287434
847,2.6544016719442873,3.2622561011359092
848,2.6677482794617706,3.2938279249024838
849,2.6577578282429823,3.2555278184990897
850,2.652085335527542,3.2427875239390915
851,2.641702783930494,3.237448235326528
852,2.6478605896443734,3.239995390724376
853,2.649653558586226,3.239170385940173
854,2.6609176763369162,3.287620946670185
855,2.66233114507125,3.2796571767792675
856,2.649176934884782,3.2363879238173996
857,2.6623318457809115,3.283380846708006
858,2.6780237256903248,3.3169598614300666
859,2.6567902472859104,3.2492474639299576
860,2.6470013984239147,3.234199756379645
861,2.654435433276971,3.2500173060105944
862,2.6513779989184822,3.2379604411658005
863,2.644164776934148,3.2352512459124605
864,2.651843645601291,3.2481560428622016
865,2.656248297283103,3.263332045766551
866,2.647736314459671,3.233250465017415
867,2.6448237218131196,3.2231174613335
868,2.659441137287863,3.256013991286762
869,2.6394709278362427,3.213815269259654
870,2.6427981193807284,3.2168763440994446
871,2.656334265944306,3.258815016222135
872,2.6536630431784856,3.254583692262405
873,2.6588776491227684,3.268100835335331
874,2.668881379249858,3.2951879790481766
875,2.6525085733774114,3.248318288072524
876,2.654537482578918,3.2475533916597414
877,2.6599189551592457,3.2743572258855305
878,2.662498797414583,3.2762447957450886
879,2.6439197452906034,3.2440148628605687
880,2.664933414139245,3.2849557458906244
881,2.6668266314726345,3.296192259416663
882,2.674211520847596,3.3099885940129767
883,2.6635464823928983,3.2835494488500165
884,2.6596427386893082,3.2703501800519548
885,2.6629456837894123,3.279653078407331
886,2.6527847239369824,3.250344623132146
887,2.6762773542559732,3.302801221880391
888,2.6863841511422195,3.340042097792404
889,2.669092498301297,3.286290972182082
890,2.661563002161659,3.2797138567319353
891,2.6772102533092146,3.32636881324321
892,2.6403288548354142,3.2240363489319552
893,2.6552213398834796,3.25111460666911
894,2.6498243126456504,3.2441017880147536
895,2.676084838126006,3.3223963154013094
896,2.652311254526192,3.2556677541166046
897,2.6518696724046924,3.249539387523678
898,2.6602264928767676,3.2600304594830063
899,2.6752711071163873,3.3257701695738304
900,2.648630700734376,3.241793195623966
901,2.6620111100569415,3.2723606975234305
902,2.652552562258067,3.2460292381881586
903,2.6601561626013654,3.275439513972262
904,2.6554479066572068,3.2617298412965496
905,2.6465343501169847,3.226381535147937
906,2.64485012571506,3.229349600142417
907,2.6678836955508696,3.2821657259045813
908,2.671885766045843,3.297473167097551
909,2.672012996727883,3.3047629888737355
910,2.6511306640790675,3.242914050627411
911,2.6813161826481533,3.323408190978894
912,2.6525053129437803,3.238149401510336
913,2.659613193531638,3.269858059699073
914,2.674806767378024,3.310139128839098
915,2.6709746825787364,3.2970052295327212
916,2.664818814760137,3.2808567367147936
917,2.6445638915209164,3.232740173446415
918,2.649994458835379,3.2364142855126916
919,2.6502546133871587,3.244377790489443
920,2.6579437727111443,3.276033235799286
921,2.6652423162770407,3.2999969646757648
