reaction2_mm_results.csv,Vmax,Km1,Km2,Ki1
0,100.00010063683285,1.999995449311108,2.9999927600311826,0.9999928866139993
1,99.99975861977349,2.0000021219069266,2.999981512308661,0.9999989578636234
2,100.00038376605742,2.000036026426045,3.000008465536358,0.9999978765245517
3,99.99933407435125,1.9999579338590994,3.0000013126200895,1.0000137415737511
4,100.00037371470299,2.000004119036744,2.9999895446326654,0.9999805863537042
5,99.99895636624218,1.9999110770183812,2.999999622152066,1.0000040016240859
6,99.99899300645657,1.9999216021589628,2.999957504638823,0.9999946246175005
7,100.0005592777808,1.9999705982070186,3.000077677172616,1.0000029127152372
8,99.99873869530492,1.9999322609765533,2.9999521910372913,1.0000053840043395
9,99.99968738719298,1.9999743888059338,2.999995165622642,1.0000041920224525
10,99.99955378664883,2.000007355304689,2.9999804833623616,1.000005728887617
11,99.9986592186048,1.999922211532342,2.9999679646374298,1.0000108567987909
12,99.99977661317419,1.9999931092790608,2.9999901567974607,0.9999981902637625
13,100.00090821134133,2.000018598599946,3.0000222236298217,0.9999802208993211
14,99.99991505954348,1.999959941791924,3.0000361584668536,1.0000150158654435
15,99.99974124647946,1.9999556019541933,3.000012734519489,1.0000016118979744
16,100.00019441376844,2.0000077755352956,2.9999983570813806,1.0000005587747836
17,99.99961532906498,1.9999872807014922,2.9999638705717806,0.99999417636511
18,99.9997998669144,2.0000222498567966,2.999986299423199,1.0000046162779477
19,99.99900336929886,1.9999184091299356,3.0000130930677735,1.0000120377872703
20,100.00021890432568,2.0000473021649854,2.999976751981711,0.9999940551192256
21,99.9999414544565,1.9999853568754598,2.999998135181751,0.9999978131120186
22,100.00039245020622,2.0000192011412423,3.000012638078063,0.9999985774735414
23,100.0000231940536,2.0000136885257596,3.0000052825274595,0.9999967526951603
24,99.99994008923287,2.000010947045989,2.9999730091254135,0.999996863354862
25,100.00007424040673,2.0000187777202343,2.999986996967624,0.9999995539456221
26,99.9999413365398,2.00003550807295,2.9999686237505663,0.9999936348438248
27,100.00024685507022,2.000028106707578,2.9999834939946854,0.9999894396473888
28,100.00074287624031,2.0000763929734537,2.9999870661946355,0.9999941862555275
29,100.00042354749063,2.0000276818034273,3.000010066257927,0.9999928455812223
30,100.00013075621804,1.999989274554712,2.9999987104783723,0.999994504998139
31,99.99944126991574,1.999989413320497,2.9999829481134648,1.000011900563402
32,99.99973330057047,1.999969564615496,3.0000187837531547,1.000007891046721
33,99.99898395674394,1.9999893230179748,2.999953893583082,1.0000066633493128
34,99.99961937395506,1.9999779075577981,2.9999967701027983,1.000004929114332
35,100.00006773701443,2.000009609107071,3.000006987728902,0.9999978967597357
36,100.00104819087521,2.0000457331515666,3.000020510408377,0.9999868675869172
37,100.00009089854669,2.000023237953899,2.9999827219000466,0.999998230967321
38,100.00011364319879,1.9999931115413525,3.000007523001817,0.9999907959501814
39,100.00015382655052,1.9999722986015844,3.0000061421240036,0.9999925239866306
40,99.99961258885673,1.9999875732446435,2.9999531532751327,0.9999917948811882
41,100.00034388537091,2.0000581428668704,2.999980092386283,0.9999966162710778
42,99.99982277336068,2.000008944629374,2.9999902148179465,1.0000015273112834
43,99.99973384185544,1.9999815587894545,3.000023595112181,1.0000082943081108
44,99.99875760427348,1.9999811714091018,2.999926402682811,1.0000042816262769
45,99.99976484059964,1.9999974180416256,3.0000041912521014,1.000011553326586
46,100.00056535368951,2.0000402151536774,3.0000177088421918,1.0000015886793312
47,100.00113255614919,2.0000427376675445,3.000036828183635,0.999985707187969
48,99.99915297386376,1.9999817251394996,2.999953688287292,1.0000026027478268
49,100.00007633072873,1.9999801888574356,3.000004948994987,0.9999957189974926
50,99.99933581613759,2.0000002281454092,2.999965060896226,1.0000078606368816
51,99.99888695741848,1.9999903311070004,2.999942272308254,1.000008321414682
52,100.00016848019611,2.0000061619605787,2.9999940237676115,0.999999295663061
53,99.99960165556425,1.9999788646285965,2.999998983824334,1.000005491825636
54,99.99886307435591,1.9999777297671746,2.999959132469711,1.0000121331178216
55,99.99917628166638,1.999990352508965,2.9999266175683705,1.000002048735152
56,99.99936662076904,1.9999450444724918,2.9999972552381826,1.0000038041820225
57,99.99975705586054,1.9999676290441661,3.0000109346989983,1.0000094325909656
58,100.00061559521035,2.0000161824722995,3.000020798033659,0.9999928905753369
59,100.00008794004212,2.0000345654049534,2.9999695187679425,0.9999967587555109
60,100.00020526504404,1.9999999730700218,3.000044729556283,1.0000069939595628
61,100.00016211037185,2.0000350587625273,3.0000004382378522,1.0000015617586695
62,99.99947891151898,1.9999853392269014,3.000005795883893,1.0000171194266527
63,99.99952839887979,1.99993058742889,3.0000134438280512,0.9999980000479237
64,99.99928708894896,1.9999174379512947,3.0000267995048158,1.000015582236496
65,99.99917028004737,1.9999522628606647,2.9999806146859576,1.0000013949185784
66,100.00015475977932,2.0000080563120495,2.9999799344569476,0.9999960767103145
67,100.00007479925017,2.000019261525052,2.999993281657804,0.9999989839812692
68,99.99933348157975,1.9999706867762799,2.9999830589563232,1.0000050378396697
69,100.00015263164251,2.0000336046162213,3.000012236928032,1.000013016611435
70,100.00026815476316,2.0000985968758385,2.999924921365196,0.9999990697883837
71,99.9999020263576,2.0000027348209146,3.000017233565055,1.0000038568629737
72,99.99974824246623,1.999976670199597,2.9999861690986798,0.9999969452697789
73,100.00024889214247,2.000034200067701,3.0000090084168827,1.0000081779003598
74,100.0007470279913,2.0000200561822017,3.0000438486898546,0.9999992815004646
