,Vmax,Km1,Km2,Ki
77,2.655962454090746,113.38682808246506,3.013023775482921,90.40636707393085
78,2.5582695675425193,108.85961552363683,3.0094854317903645,88.51597559511362
79,2.653454124862456,113.45845733416425,2.998947228680418,90.58758459828341
80,2.6785756874079802,114.71357599591491,2.993014554958999,91.1759346846889
81,2.5129485437311168,106.97322138759466,3.008416252414386,91.35448344038753
82,2.5183974822560318,107.08611454461423,3.0025434141086698,87.58126082498386
83,2.5643651311902733,109.62040093755363,3.0010229804941244,93.84326052559581
84,2.629727008701472,112.20660926530864,3.0115471031226786,90.64916809085267
85,2.5245376572119267,107.55207793945732,3.0002957175818112,90.01211190301579
86,2.6317426214106043,112.64693949143448,2.9866199801976454,90.77523934828118
87,2.582593277635306,110.27038464926731,2.9859375575146787,87.4020290973581
88,2.519008685353937,107.31401347776956,3.0065357386686777,89.83633838829428
89,2.528199225587071,107.66555107416566,3.0069030284200466,90.14233600630637
90,2.5454182599442765,108.55753656060158,2.9944302620033785,89.58713646444674
91,2.4859509166643012,105.72276414440267,3.0032916794996005,88.62203460191478
92,2.5557955337818283,109.02617027937548,2.996257808083739,89.75577347791072
93,2.531051669348613,107.92583305140404,3.000840165331343,90.98061483016409
94,2.650629963927008,113.25546428927338,3.007076017175193,89.95703137327062
95,2.5819192492199368,110.05035273663277,3.0137533586701686,89.71153635483279
96,2.5620014505522137,109.40714656353799,2.9900150126788545,89.92148543544356
97,2.5837917561979027,110.41865040104373,2.9934028551023983,89.98063822279263
98,2.4853123737172127,105.94634408915196,2.9991981777518095,90.93133237273504
99,2.555495018803267,108.89409342205073,3.004239611323015,89.58997229021222
100,2.5984803898272517,110.89243790585812,2.9927335964409667,89.17959240922383
101,2.5180877633652434,107.19709098629568,3.0015609298630928,89.36069117475586
102,2.5933053579759355,110.73887708083387,3.007108330424654,92.90594893991017
103,2.5377022214779417,108.30992805494374,2.999807942959857,91.46761705140135
104,2.5162329668824372,107.28691978484665,2.996476565250086,91.0039608083711
105,2.628562638099281,112.33067892034225,3.004818793096371,90.73615348344862
106,2.5211013723241225,107.61552080637733,2.98801393178768,90.57905284641097
107,2.5858131356184795,110.42840893969489,2.9958180734162676,90.71046593965596
108,2.6081197603957227,111.52385078318345,2.9970170644237353,91.87704227378339
109,2.482605286477692,105.79077566462949,2.989932149678278,89.82181963738927
110,2.6959772192093623,115.57983079000225,2.9858098596097165,89.16386349786859
111,2.705930575681321,115.7586921944489,3.00592726833977,89.37801937610901
112,2.675501122503434,114.73622787231467,2.985710234467009,91.41256285422324
113,2.5756047978217267,109.57562818026896,3.011927071497535,88.2598137319966
114,2.4874164048490557,105.94881699327627,2.999815988683883,90.38425922846652
115,2.59812479427406,110.90423177889971,3.0071758542389917,90.84964272787066
116,2.5992364409130686,111.1909792227045,2.9839379192009097,89.8730275414531
117,2.502471450088035,106.69768938592722,2.9924767719406007,90.05912056525821
118,2.486036074856262,105.79791804662496,2.991355477107293,88.43621102402868
119,2.601617535318323,111.36566380659697,2.986596735776557,90.29963936478525
120,2.535052856859522,107.98996529592189,3.0064305312683675,90.24212724435183
121,2.569212085052675,109.50946203151108,3.0063999563476584,89.81345671428832
122,2.565519869124365,109.38792357381993,3.010601200944725,91.7298285075398
123,2.622956312884223,112.44174266049772,2.9810511255647776,92.6071813124014
124,2.5754895847666956,109.80898018647875,3.0044907799917855,90.57176987841993
125,2.630433919908613,112.58584243788145,2.9795573160549425,89.92956171034152
126,2.8010488802253763,119.95997678264008,3.008696456384551,89.46068037402077
127,2.708569874575428,115.89829557114228,2.997402151427623,89.97356089858435
128,2.5955091255807337,110.94900624310604,2.9871409125989183,90.02857652507507
129,2.6852981440935575,114.63395817054163,3.013208933547361,88.7680707231697
130,2.6981196991947876,115.57014546942419,2.99326787899246,90.13567528402803
131,2.6072361290768695,111.68736113912587,2.978303423649711,90.00562968765175
132,2.634533275415447,112.7177556883793,2.9893834891471625,90.77530047038427
133,2.619801424947431,112.12028200827208,2.997706584830844,92.97665456793106
134,2.677157865360132,114.8296633177988,2.9836652284545013,90.59338113799862
135,2.6118598304137883,111.78434253868046,2.992785257131721,91.87763852312763
136,2.613405837925166,111.93217152962451,2.9791188671883937,90.12747673301341
137,2.609162802692336,111.57536725350873,2.994478365757801,91.69286158275489
138,2.6619049246119477,114.12180607223556,2.983330840976225,90.74924097448606
139,2.627665251273081,112.11867245692642,3.0061654319053757,89.14455882664991
140,2.5870634625371887,110.41963078941473,3.000227027193781,89.87331772600899
141,2.442962209433337,103.8012467903578,3.0078842677278526,91.58831177000611
142,2.667743067094222,114.09723901560754,2.997873945823575,89.30557310020072
143,2.62621865421955,112.14214268177683,3.0077461946163058,90.70513637155248
144,2.605319808786633,111.36699323018856,3.0011308374668975,91.98424822994521
145,2.5908758185793426,110.88376161991185,2.9909099536370807,91.4335046973359
146,2.535596339145709,108.26393087111148,2.987754402998078,89.95692770421996
147,2.6310424313377894,112.32034930632315,2.999788799246099,88.22584645981047
148,2.6210788476865603,112.08500711669957,2.992879419300333,90.61716263264881
149,2.6385593243755534,112.60828749567877,3.007895340731899,90.30250867039328
150,2.5556844287481413,109.02414369882196,2.9964107336717847,90.77068184475469
151,2.6152305326444263,111.6911030215622,3.0016003453906612,89.82232876109403
152,2.5388861709359993,108.3280186275661,2.988711150128613,89.7493050253591
153,2.6043530236528505,111.26226320418785,2.9935027830632768,90.20003689304092
154,2.4827860738094474,105.4811250653883,3.0079788170587753,89.29096901782795
155,2.586334347114846,110.58487873762664,2.9915076797007623,90.99840614482133
156,2.5965473664303413,110.87427983649536,3.008918830296403,89.92793490027088
157,2.683882241392278,114.50091125977373,3.018306038773066,89.62163085994035
158,2.6788109166881853,114.72531254010039,2.9952281735306725,90.42198009523379
159,2.6345187707804656,112.63378005150524,2.992885833437604,89.58023086326858
160,2.564424803033235,109.10548002426968,3.0109062147485224,88.92392342386474
161,2.617980973330398,111.85692271186251,2.9962252118266273,88.91597897222287
162,2.4974005227655343,106.20641727225879,3.009263258177083,90.68331361939336
163,2.5196898861490045,107.37961764108114,2.9954581155807993,89.74392121117855
164,2.5722621284720932,109.4445901869579,3.022380961686207,90.22305852252109
165,2.591851937265115,110.83771964151249,2.9908300895372046,90.53272526510845
166,2.767200582493875,118.2035755234977,3.037964489266329,92.26394089947146
