,Vmax,Km1,Km2,Ki1
190,13.379162589607917,156.8455049822461,12.203763084875039,199.63543676760466
191,753410.5702612242,149.28686673696592,688620.4502560743,148.8816771246311
192,1.2789843620515227,90.51341756071935,0.8167480073847784,144.0740633040993
193,1.3743633315917392,138.94605518334103,0.7677168001320526,173.1700051882726
194,22809041.37176153,68.88322969615069,24342699.33404765,74.86336455914987
195,66.36189679501115,77.6622193545046,76.082958982968,120.3316070550983
196,11.170562748172365,103.08827342015918,11.469891625673236,125.79841717858032
197,1358099.2424994158,89.56580514060389,1459691.3025954736,109.12498619609356
198,20510876.458032195,214.02125149711398,16133728.054541057,176.38413751707114
199,11165490.617949955,174.85676071473384,10106057.594766589,156.2182527696044
200,12.559192001636232,208.41867568014285,10.12466999864596,206.45513940948712
201,1.0917894623244744,84.86076456181873,0.5908256716262832,85.72207834953096
202,17.568436796097185,212.3025714947553,13.465960030570553,209.7973639077913
203,10.924354317077347,325.69795957621864,6.954418514592265,272.0527738877077
204,6365118.84323414,48.899106593850355,7937682.343525603,109.85728080328984
205,4.636443440443333,85.49535346042012,4.793285600944101,157.902720160566
206,5.716508827807767,65.53901060231588,5.72941556892273,97.56926317901417
207,4461198.089790853,114.63356580614783,4806050.820350958,175.0575144952844
208,4.945337903641571,149.399484259999,4.134167366471061,160.29358265660608
209,920233.7037902965,100.93277633030561,938600.4681730397,124.02515306985784
210,4.00131301920311,80.3593676530496,4.157970525012675,194.96154871863652
211,9083100.142141126,76.37670977629905,10434604.440611973,264.76590723295004
212,648655.2210010821,73.65076674139881,747866.9306814184,95.7901211793797
213,2.0125940747994453,164.86853125540753,1.4367832000741814,365.22168220644363
214,2.849528949818779,203.8802411202166,1.8272516382702733,300.8465104261687
215,103.8490258033961,113.39047331155959,98.38196350059016,119.19199025727481
216,4.569357757212401,126.27748093509193,4.127417716313503,154.18881850458305
217,6943748.121180411,71.58619996123421,7952434.356739198,93.7136074220536
218,3.815823963726804,83.49717556455904,3.604280852058684,112.43491732756873
219,2.422284397830381,51.008161193975305,2.2979909523059465,75.81261404513155
220,6406077.569787631,260.02696675071803,4834854.805075307,314.3750006933677
221,2.1831930629373115,159.1640687871846,1.6063018349796125,265.6338158689167
222,5.139725966675622,222.7299681971741,3.653635327858613,209.35609121592648
223,1.9921941158553504,106.40350018433263,1.605154198636884,150.93774360839694
224,0.9056255827592828,36.843845872490725,0.6932255528020635,114.38208563417291
225,1.8178115893445326,98.87667398108579,1.3534598877082689,152.21607486692312
226,13115257.742293164,81.15461074507118,14261287.879628653,110.92771728380609
227,9726124.284156034,83.91620113385552,10544488.234970665,88.81658275350256
228,2.661528546053842,243.94415716160364,1.4847476424527857,297.3691724979901
229,7.709883000788456,88.33924804599278,8.251678611813338,104.45965075492506
230,3506876.646036622,154.03125769823163,3348897.673494032,235.33110269466584
231,1.6439394611779148,103.23041879141505,1.199311224618416,237.70797371246533
232,2.4137710189683586,182.79932271141152,1.7175214088241335,291.1090990337632
233,3.213696887903362,113.69894991326287,2.593597243850373,136.42486486938216
234,18963792.09401397,140.03371971113665,18226343.623945918,216.84013387487053
235,6464349.887715226,84.83826730973105,7044488.779703179,112.56055466790662
236,2.663431520182435,113.16603013682575,2.2700809804808153,304.6994695090848
237,7842891.179428755,224.5992469742641,6224965.43016141,176.79813880949933
238,28704008.90239553,80.2282121983716,30897797.498547122,111.6980384568772
239,35288415.56348119,68.04701091098384,38606737.55716021,118.09697158347566
240,6.374326094559161,127.61266327750981,5.37012580334158,103.605542413137
241,1.1687621123938825,138.8343966413473,0.6463844782695853,186.8502180014343
242,7923557.385466814,100.66159443144932,8170098.133275422,76.12090587523937
243,4327413.553507758,191.86724374140027,3895951.845193149,184.2709259888316
244,12.07900351358375,104.96760915195455,12.47489129116555,189.6155762741538
245,139514.5816064037,167.25481030109614,123650.27860485119,211.3771968473217
246,7697123.398032504,102.92214493825158,7991351.352359523,100.94142857245329
247,530036.9338506318,102.54369434669591,585726.8657927988,132.09578773657887
248,11.29054006321759,175.88774084014872,9.760977603205774,326.007797887109
249,7.031929987677465,91.15002981535633,7.09971253025261,121.66309925538876
250,6.054685777091251,100.219081416613,5.7170231193071395,157.38346786629495
251,2.153757430206279,81.26777026553074,1.881630193254156,154.49935488528408
252,4.006491878194739,242.25898677619853,2.587873174641894,229.98369679399963
253,7.224672077950485,61.447918790752986,7.714757944107378,82.77167482008844
254,3.1787333896708287,88.26041564476157,2.8895185623873316,111.73481986031423
255,26.175263664243506,83.81498345827787,29.754569740225826,181.70891353870286
256,6.664630898024092,111.58288568680372,6.155465252352022,129.84383360069486
257,4.473355616209785,124.74725101528442,3.7598322335889853,151.67404938345973
258,4485890.371067718,130.5101683174065,4346034.988710332,135.6849700702198
259,8124257.599290473,134.8545974230631,7509269.462599361,187.89331146864288
260,19284830.057979755,132.6451879184085,17680857.382101137,121.10723432301539
261,8636033.46924144,115.10821088961976,8216236.636940719,144.74381713695226
262,2.719392113962348,200.0734983649909,1.7317345826540427,243.40628414521754
263,11.047318791975778,128.34412034964652,10.141306704609491,154.8018210595878
264,3.2231338500952487,160.4229185714645,2.5352957753876675,161.46610200319603
265,20027305.48728293,109.49943340226005,21183151.274580758,143.36507823273607
266,2.1435128845970643,129.0214849150342,1.5629243236903445,214.30435231635587
267,31.158404465972335,184.23348969131442,26.88449356231745,159.74217667180332
268,12336032.884407977,155.403326029888,11553433.91137353,206.22606100497262
269,3.2541218607949074,75.27365885978013,2.9349095098329285,87.17114295582095
270,507608.6485654915,92.39763909009838,555701.7411943895,111.81269444104815
271,5.113465708097156,39.02908807847924,6.423890076013937,103.58378352732622
272,2.89383118101187,97.95820210183668,2.723748961222498,233.07375200932248
273,6889960.421276713,220.83189316986088,5533430.3673985815,174.5718572418344
274,21221162.327359375,135.30849528731932,21310001.013432134,169.26958318486535
275,1964445.8859216284,88.85749858600853,2106507.1498510735,87.77765836638608
276,2.7309650545798556,132.2944837224802,2.04438120848017,203.70125307488294
277,1.7774696248414203,65.35620981176426,1.6295794653329474,62.242936683409624
278,7.113558139541942,54.07447354020177,8.03499892875697,82.12572885769522
279,2161941.839299851,211.75444108444054,1846456.112137138,286.1291699514091
280,10148772.952876594,100.42651033335848,10983312.881951593,213.0506345249294
281,12114040.048683345,128.84483399976395,11892710.275519857,262.58894793609744
